gene,ProbeID,GeneID,cell,X5,X6,weight
LRRTM4,220345_at,80059,U118,na,-666,0.806617461
SSX1,206626_x_at+206627_s_at,6756,U118,na,-666,0.03637658
GDF5,206614_at,8200,U118,na,-666,0.452391825
SFRP4,204051_s_at+204052_s_at,6424,U118,na,-666,0.856775752
PALMD,218736_s_at,54873,U118,na,-666,0.168377383
IL36RN,222223_s_at,26525,U118,na,-666,0.343074634
SFRP1,202035_s_at+202036_s_at+202037_s_at,6422,U118,na,-666,0.033914222
SOCS1,209999_x_at+210000_s_at+210001_s_at+213337_s_at,8651,U118,na,-666,0.641218064
CD68,203507_at,968,U118,na,-666,0.773830044
AJAP1,206460_at+215789_s_at+215790_at,55966,U118,na,-666,0.17200553
PRKCDBP,213010_at,112464,U118,na,-666,0.503647356
CTNND2,209617_s_at+209618_at,1501,U118,na,-666,0.984341551
SCN3A,210432_s_at,6328,U118,na,-666,0.089739691
EFS,204400_at+210880_s_at,10278,U85,na,-666,0.965657969
IL1RN,212657_s_at+212659_s_at+216243_s_at+216244_at+216245_at,3557,U85,na,-666,0.147353353
NPTX1,204684_at,4884,U85,na,-666,0.618090194
DCN,201893_x_at+209335_at+211813_x_at+211896_s_at,1634,U85,na,-666,0.820446607
COL15A1,203477_at,1306,U85,na,-666,0.770270048
PDPN,204879_at+208233_at+221898_at,10630,U85,na,-666,0.532267731
FPR1,205118_at+205119_s_at,2357,U85,na,-666,0.641486859
LIMK1,204356_at+204357_s_at+208372_s_at,3984,U85,na,-666,0.403365293
MTHFD2L,220346_at,441024,U85,na,-666,0.782913375
GPR37,209631_s_at+214586_at,2861,U85,na,-666,0.035211781
RCAN2,203498_at,10231,U85,na,-666,0.001969449
FABP3,205738_s_at+214285_at,2170,U85,na,-666,0.092147924
CMKLR1,207652_s_at+210659_at,1240,U85,na,-666,0.207760377
CA5B,207129_at+214082_at,11238,U85,na,-666,0.839632444
SERPINB2,204614_at,5055,U85,na,-666,0.520603144
ARHGAP22,206298_at,58504,U85,na,-666,0.862139785
